id,consecutive,name,description,len,cat,kind,frecuency,met_validation,met_hours_man,qua_hours_man,cap_area,cap_qua,cap_total,comments,more_info,curriculum,file_doc,current_version,is_qua,active,risk_model_id,area_model_id
11,11,Asignación de capital internacional,"En base a ponderaciones de Categorías de Riesgo de los soberanos, historial de ICV de las colocaciones en los paises se definen porcentajes de ajustes a los porncetajes de AK para diferenciar el nivel de riesgo de cada país",Otros Países,Tipo1,Metodología,12,"Criterio Experto, basado en las Cifras coherentes",4,4,4,4,8,Actualmente se está trabajando con la Gerencia de AK en Colombia para el desarrollo de metodologías,,TRUE,12-13-14. Ppt SVA - SVA 2012 Bca Empresas - 06032012.pptx,1,FALSE,TRUE,1,1
12,12,Modelo de Libranza para Convenios,,Bancolombia,Tipo1,,,,16,,,,,,,FALSE,,,FALSE,TRUE,1,1
13,13,Metodologia de integracion de scoring hipotecario (traductor),"La metodología de integración de scoring busca crear un mecanismo en que se pueda evaluar a un cliente y se le asigne una escala œnica de riesgo (G1, G2,é,G8). Sin importar la etapa del ciclo de crédito (otorgamiento/comportamiento) o el scoring mediante el cual el cliente fue evaluado, se le puede asignar una escala œnica. Esto se logra a través de la categorización de los scoring existentes, la homologación via PD mediante una escala maestra y con la creación de reglas de prelación de los scoring.",Bancolombia,Tipo2,,6,Capacidad discriminante,16,16,,,,,,TRUE,Metodologia de integracion de scoring hipotecario,Versión 1,TRUE,TRUE,1,1
14,14,Metodologia de integracion de scoring persona natural  (traductor),"La metodología de integración de scoring busca crear un mecanismo en que se pueda evaluar a un cliente y se le asigne una escala œnica de riesgo (G1, G2,é,G8). Sin importar la etapa del ciclo de crédito (otorgamiento/comportamiento) o el scoring mediante el cual el cliente fue evaluado, se le puede asignar una escala œnica. Esto se logra a través de la categorización de los scoring existentes, la homologación via PD mediante una escala maestra y con la creación de reglas de prelación de los scoring.",Bancolombia,Tipo2,,6,Capacidad discriminante,16,16,,,,,,TRUE,Metodologia de integracion de scoring persona natural,Versión 1,TRUE,TRUE,1,1
15,1,Modelo PD BAM PJ - IFRS,"Cálculo de las probabilidades de default del Grupo Bancolombia. Entrada: Vector de mora, castigos, reestructuraciones, grupo homogéneo y calificación por cliente. Salida: Probabilidad de incumplimiento con proyección de un aÏo.",BAM,Tipo1,Modelos Estadísticos,6,Traffic Light ,8,16,16,32,48,,,TRUE,05 PD GRUPO BANCOLOMBIA 2013 Final.docx,˜1,TRUE,TRUE,2,2
16,2,Modelo LIP Macroeconómico cartera Pyme BAM IFRS,"Modelo LIP, Entrada: Probabilidades de default históricas por fecha de análisis y Grupo Homogéneo y Variables Macroeconómicas Trimestrales. Salida: Correlacion entre la tasa de default y las variables macro económicas",BAM,Tipo2,Metodología,12,Definida por cuantificación,0,2,0,2,2,,,TRUE,07  Metodología de Cálculo LIP Macroeconómico 2012,1,TRUE,TRUE,2,2
17,3,Modelo LIP Macroeconómico cartera Corporativo BAM IFRS,"Modelo LIP, Entrada: Probabilidades de default históricas por fecha de análisis y Grupo Homogéneo y Variables Macroeconómicas Trimestrales. Salida: Correlacion entre la tasa de default y las variables macro económicas",BAM,Tipo2,Metodología,12,Definida por cuantificación,0,2,0,2,2,,,TRUE,07  Metodología de Cálculo LIP Macroeconómico 2012,1,TRUE,TRUE,2,2
18,4,Modelo Ajustes Cualitativos Pyme BAM IFRS,"Se busca pronosticar las probabilidades de default a partir de su asociación con un amplio conjunto de variables macroeconómica utilizando para tal fin técnicas VAR (Vector Autoregression Model), estos Modelos aplican para Bancolombia, Tuya y Leasing",BAM,Tipo2,Modelos Estadísticos,12,Definida por cuantificación,4,16,4,16,20,,,TRUE,01 Ajustes Macros Grupo Bancolombia Dic 2012.docx,2,TRUE,TRUE,2,2
19,5,Modelo Ajustes Cualitativos Corporativo BAM IFRS,"Se busca pronosticar las probabilidades de default a partir de su asociación con un amplio conjunto de variables macroeconómica utilizando para tal fin técnicas VAR (Vector Autoregression Model), estos Modelos aplican para Bancolombia, Tuya y Leasing",BAM,Tipo2,Modelos Estadísticos,12,Definida por cuantificación,4,16,4,16,20,,,TRUE,01 Ajustes Macros Grupo Bancolombia Dic 2012.docx,2,TRUE,TRUE,2,2
20,1,Reserva PND (prima no devengada),,Banistmo,Tipo1,,12,"Es una fórmula estándarizada, que se calcula con normas MIX y está bajo la regulación de la Superintendencia de Seguros de Panamá",16,0,16,0,16,,,TRUE,01 LRG 505 - Manual Reserva PND.doc,1,,FALSE,3,3
21,2,Reserva Matermática,,Banistmo,Tipo1,,12,"La validación de los datos se hace de manera mensual, lo revisa un Actuaio externo para el cierre fiscal  y se muestra en la Superintendencia de Seguros de Panamá",16,0,16,0,16,,,TRUE,02 LRG-485 Cálculo de Reserva Matematica.docx,1,,FALSE,3,3
22,3,Reserva IBNR,,Banistmo,Tipo2,,12,"Segœn la ley de 2012 se debe hacer bajo las normas internacionales de finanzas (MIF), y se registra con un pasivo.",16,0,16,0,16,,,TRUE,03 LRG-494 Calculo de la Reserva IBNR.docx,1,,FALSE,3,3
23,1,Modelo de VAR (Valores en riesgo),,Banistmo,Tipo1,Metodología,12,"Se valida el nivel de confianza, la cantidad de pérdidas y en caso de ser necesario se hace una calibración",16,0,16,0,16,,,TRUE,04 Calculadora de VaR.doc,1,,TRUE,3,7
24,1,Risk Calc Plus- Emergency Markets - Genérico de Moody‹s,,Banistmo,Tipo1,Modelos Estadísticos,12,Se hacen validaciones del desempeÏo y en caso de encontrar  diferencias se consulta con Moody‹s  ya  que ellos fueron los creadores del modelo,16,0,16,0,16,,,TRUE,,1,,TRUE,3,6
25,2,LGD,,Banistmo,Tipo2,Metodología,6,Panel de Expertos,16,0,32,0,32,,,TRUE,,1,,TRUE,3,6
26,1,Behavior de TDC ,,Banistmo,Tipo2,,3,Capacidad Discriminante,40,0,160,0,160,,,TRUE,,2,,FALSE,3,4
27,2,Score APC ( Prestamos Personales),,Banistmo,Tipo1,Modelos Estadísticos,12,Capacidad Discriminante,40,0,40,0,40,,,TRUE,,3,,TRUE,3,4
28,3,Score APC (Tarjetas de Crédito),,Banistmo,Tipo1,Modelos Estadísticos,12,Capacidad Discriminante,40,0,40,0,40,,,TRUE,,4,,TRUE,3,4
29,1,Modelo Interno COLGAAP (Comercial),,Banistmo,,,12,,16,0,16,0,16,,,TRUE,10 Documento metodologíco Comercial Colgaap.docx,1,,FALSE,3,5
30,2,Modelo Interno COLGAAP (Consumo),,Banistmo,,,12,,16,0,16,0,16,,,TRUE,,1,,FALSE,3,5
31,3,Provisión Individual para Hipotecas,,Banistmo,Tipo1,Modelos Estadísticos,12,,16,0,16,0,16,,,TRUE,,1,,TRUE,3,5
32,4,Recovery Asset,,Banistmo,,,12,"Se validan los parámetros con los áreas que suministran los insumos, se comparan los resultados con las fechas anteriores para validar las variaciones con el periodo anterior",16,0,16,0,16,,,TRUE,,2,,FALSE,3,5
33,5,Modelo Interno USGAAP (Comercial),,Banistmo,,,12,,16,0,16,0,16,,,TRUE,,1,,FALSE,3,5
34,6,Modelo Interno USGAAP (Consumo),,Banistmo,,,12,,16,0,16,0,16,,,TRUE,,1,,FALSE,3,5
35,7,Modelo Scoring de Comportamiento PN Banistmo,,Banistmo,Tipo2,,6,Capacidad Discriminante,16,16,40,32,72,,,TRUE,16Modelo de calificación de comportamiento M3 para clientes PN Banistmo 2014 Final.docx,versión 1,,TRUE,3,5
36,8,Score de Comportamiento Hipotecario Banistmo,,Banistmo,Tipo2,,6,Capacidad Discriminante,40,16,40,32,72,,,TRUE,,Versión 1,,TRUE,3,5
37,9,Scoring de Cobranza Banitsmo,,Banistmo,Tipo2,Modelos Estadísticos,6,Capacidad Discriminante,40,40,40,80,120,,,TRUE,,Versión 1,,TRUE,3,5
38,10,Modelo LIP Macroeconómico Persona Jurídica Banistmo IFRS,,Banistmo,Tipo2,Metodología,12,Definida por cuantificación,0,2,0,2,2,,,TRUE,20 LIP Macro - Comercial Banco Agricola 2012,1,,TRUE,3,5
39,11,Modelo LIP Macroeconómico Cartera Hipotecaria Banistmo IFRS,,Banistmo,Tipo2,Metodología,12,Definida por cuantificación,0,2,0,2,2,,,TRUE,20 LIP Macro - Comercial Banco Agricola 2012,1,,TRUE,3,5
40,12,Modelo LIP Macroeconómico Persona Natural Banistmo IFRS,,Banistmo,Tipo2,Metodología,12,Definida por cuantificación,0,2,0,2,2,,,TRUE,20 LIP Macro - Comercial Banco Agricola 2012,1,,TRUE,3,5
41,13,Modelo LIP Macroeconómico Financomer Banistmo IFRS,,Banistmo,Tipo2,Metodología,12,Definida por cuantificación,0,2,0,2,2,,,TRUE,20 LIP Macro - Comercial Banco Agricola 2012,1,,TRUE,3,5
42,1,VaR del Libro Bancario,,Banistmo,Tipo 2,Metodología,12,"Verificar las valoraciones del libro bancario reales, contra las valoraciones estimadas del VaR e identificar si las pérdidas están acordes a lo predicho por el modelo",16,0,16,0,16,,,TRUE,23 Manual de VaR Libro Bancario -2016,1,,TRUE,3,7
43,14,Modelo Ajustes Cualitativos Persona Jurídica Banistmo IFRS,,Banistmo,Tipo2,Modelos Estadísticos,12,Definida por cuantificación,4,16,4,16,20,,,TRUE,01 Ajustes Macros Grupo Bancolombia Dic 2012.docx,2,,TRUE,3,5
44,15,Modelo Ajustes Cualitativos cartera Hipotecaria Banistmo IFRS,,Banistmo,Tipo2,Modelos Estadísticos,12,Definida por cuantificación,4,16,4,16,20,,,TRUE,01 Ajustes Macros Grupo Bancolombia Dic 2012.docx,2,,TRUE,3,5
45,16,Modelo Ajustes Cualitativos Persona Natural Banistmo IFRS,,Banistmo,Tipo2,Modelos Estadísticos,12,Definida por cuantificación,4,16,4,16,20,,,TRUE,01 Ajustes Macros Grupo Bancolombia Dic 2012.docx,2,,TRUE,3,5
46,17,Modelo Ajustes Cualitativos Finacomer Banistmo IFRS,,Banistmo,Tipo2,Modelos Estadísticos,12,Definida por cuantificación,4,16,4,16,20,,,TRUE,01 Ajustes Macros Grupo Bancolombia Dic 2012.docx,2,,TRUE,3,5
47,18,Modelo PD Banistmo PN  - IFRS,,Banistmo,Tipo1,Modelos Estadísticos,6,Traffic Light ,8,16,16,32,48,,,TRUE,05 PD GRUPO BANCOLOMBIA 2013 Final.docx,˜1,,TRUE,3,5
48,19,Modelo PD Banistmo PJ  - IFRS,,Banistmo,Tipo1,Modelos Estadísticos,6,Traffic Light ,8,16,16,32,48,,,TRUE,05 PD GRUPO BANCOLOMBIA 2013 Final.docx,˜1,,TRUE,3,5
49,20,Modelo PD Banistmo Hipotecario  - IFRS,,Banistmo,Tipo1,Modelos Estadísticos,6,Traffic Light ,8,16,16,32,48,,,TRUE,05 PD GRUPO BANCOLOMBIA 2013 Final.docx,˜1,,TRUE,3,5
50,21,Modelo PD Banistmo Financomer  - IFRS,,Banistmo,Tipo1,Modelos Estadísticos,6,Traffic Light ,8,16,16,32,48,,,TRUE,05 PD GRUPO BANCOLOMBIA 2013 Final.docx,˜1,,TRUE,3,5
51,22,EAD: Exposure at Default Banistmo,,Banistmo,Tipo2,Metodología,12,Definida por cuantificación,4,5,4,5,9,,,TRUE,04 Metodología de Estimación EAD 2012.docx,1,,TRUE,3,5
52,23,Calculo de LGD Banistmo Corporativo  IFRS,,Banistmo,Tipo2,Metodología,12,Definida por cuantificación,8,9,8,9,17,,,TRUE,06 METODOLOGIA_PARA_CALCULO_DEL_LGD_febrero2013_.docx,1,,TRUE,3,5
53,24,Calculo de LGD Banistmo PN IFRS,,Banistmo,Tipo2,Metodología,12,Definida por cuantificación,8,9,8,9,17,,,TRUE,06 METODOLOGIA_PARA_CALCULO_DEL_LGD_febrero2013_.docx,1,,TRUE,3,5
54,25,Calculo de LGD Banistmo TDC IFRS,,Banistmo,Tipo2,Metodología,12,Definida por cuantificación,8,9,8,9,17,,,TRUE,06 METODOLOGIA_PARA_CALCULO_DEL_LGD_febrero2013_.docx,1,,TRUE,3,5
55,26,Calculo de LGD Banistmo hipotecario IFRS,,Banistmo,Tipo2,Metodología,12,Definida por cuantificación,8,9,8,9,17,,,TRUE,06 METODOLOGIA_PARA_CALCULO_DEL_LGD_febrero2013_.docx,1,,TRUE,3,5
